SeriousDlqin2yrs,RevolvingUtil,age,Late30_59,DebtRatio,MonthlyIncome,OpenCreditLines,Late90,RealEstateLoans,Late60_89,Dependents
0,0.13251834435932944,61,0,0.18850192682817657,,8,0,1,0,1.0
0,0.06641051817192993,83,0,0.19253021163305917,,10,0,1,0,
0,0.3269839004774894,80,1,0.11912014068175446,,15,0,2,0,2.0
0,0.18761307497047,61,0,0.18535808939662396,20479.716719611242,11,0,4,0,5.0
0,0.6583223758217194,59,0,0.27349841346810727,17676.03455805122,5,0,1,0,1.0
0,0.3829219796616913,67,0,0.21064910303174852,23208.16726425097,9,0,1,0,1.0
0,0.3354873584276254,43,0,0.22399752678678017,12995.133931553904,5,0,1,0,2.0
0,0.31220939412910875,44,0,0.6596491798686512,13948.97370984011,11,0,2,0,2.0
1,0.7271063605213239,42,4,1.3824923781897418,4261.650043766738,8,4,1,3,1.0
1,0.6057945956791522,47,5,1.3015943582066882,11696.450888162584,5,2,2,2,0.0
0,0.5741270802274695,60,0,0.2202404261462425,15109.659423283085,5,0,1,0,2.0
0,0.23997425231631178,54,0,0.2390644091839124,18562.557986235453,15,0,1,0,1.0
0,0.4344849796261772,40,0,0.586791872530251,7330.462318225213,7,0,1,0,0.0
0,0.42190290315339857,52,0,0.12034498059717853,6447.060511560893,10,0,2,0,1.0
0,0.45855756133400444,70,0,0.42073042190401805,7513.764195608915,5,0,3,0,2.0
0,0.4502436776404423,53,0,0.15931056059134696,19503.89420315849,7,0,1,0,0.0
0,0.2286621600618175,53,0,0.34653532039017837,8790.618107226292,14,0,0,0,0.0
0,0.42879436156931594,56,0,0.23561645750905905,,10,0,2,0,0.0
0,0.1646150966207079,58,0,0.13809990634612157,5888.358572643141,9,0,4,0,0.0
0,0.22458603326009713,47,0,0.12326936712125358,6298.618027459087,8,0,5,0,1.0
0,0.335219579964049,56,0,0.16204861358076433,6929.644944749209,12,0,1,0,0.0
0,0.44452426784023763,37,0,0.17032644364628985,4917.3491575633125,4,0,1,0,0.0
0,0.06492356415814678,40,0,0.3178207991080955,13397.279626115467,7,0,2,0,1.0
0,0.31541822334149405,42,0,0.335667349049313,9003.17385573675,2,0,2,0,
0,0.17880233243752303,58,0,0.13635340174818505,12928.968846958916,6,0,1,0,2.0
1,0.8629638662526222,39,3,1.2583103800877473,,6,2,1,1,0.0
0,0.06179150724502727,50,1,0.2615576245834163,16919.33498403605,15,0,0,0,3.0
1,0.8955296886331512,45,0,0.7788368275852329,2215.5571805743784,4,3,4,2,0.0
0,0.38956380194198137,57,0,0.15461108387896613,12708.256425945006,5,0,0,0,1.0
0,0.38827558500937087,47,0,0.09110581488567394,21176.828042204936,6,0,1,0,2.0
0,0.37149559449532177,37,0,0.308614392347702,11895.607980649076,7,0,3,0,1.0
0,0.4923993416687756,40,0,0.4168791751095804,28447.100542080338,10,0,1,0,1.0
0,0.2457127098289559,31,0,0.3972389491545212,3866.627157955976,12,0,1,0,3.0
0,0.2839350700272772,53,2,0.35656037698440796,8444.05850632837,7,0,1,0,1.0
0,0.33737237078248256,39,0,0.16786383482702627,4016.9026960704678,6,0,0,0,
0,0.5566555572023275,45,2,0.17372097868577344,,11,0,0,0,1.0
0,0.023649545859245873,50,0,0.1398500339969731,10283.038257286407,12,0,1,0,1.0
0,0.30781255465187024,66,0,0.18941096484667125,5732.512867397636,5,0,0,0,0.0
0,0.4995450379461928,65,0,0.23278689042555492,,7,0,0,0,2.0
0,0.4866476456940882,51,0,0.3143762287341201,8269.128873063026,8,0,3,0,0.0
0,0.07144187069386906,69,0,0.2546176369969534,3284.295522048712,6,0,0,0,1.0
0,0.4655533423186011,23,0,0.369856407636074,13906.234443479323,7,0,1,0,
0,0.47622030642604923,78,1,0.22560701570235786,14014.370980174535,4,0,0,0,0.0
0,0.4767928477265698,61,0,0.14803370475098865,7787.330764616613,8,0,3,0,0.0
1,0.5926962458498082,39,3,0.6124438975008224,,7,4,0,2,0.0
0,0.1852637046448919,39,0,0.34211073549936033,6154.123639660991,8,0,1,0,2.0
0,0.29816386825175756,45,0,0.3331407020403443,,6,0,0,0,0.0
0,0.0819693457530071,60,0,0.36847379744585973,,4,0,2,0,0.0
0,0.37453034299897,60,0,0.18104195892372582,15711.811917004225,7,0,3,0,4.0
0,0.3348292615337534,61,0,0.06017009391678177,8847.535433321784,11,0,1,0,
0,0.45318657600821327,41,0,0.34214502445338507,7775.974441583467,7,0,1,0,0.0
0,0.09714752632581054,38,0,0.08476313929827217,9695.25428292969,8,0,2,0,0.0
0,0.06802558972234646,54,0,0.41794227538776774,3557.4711741699057,6,0,0,0,0.0
0,0.36454657857486666,62,0,0.19712453402175753,8606.041219813993,5,0,1,0,0.0
0,0.22579333389114412,52,0,0.37383446897527844,3676.5014094803355,9,0,0,0,0.0
0,0.2450423247943885,72,1,0.2926766746745187,6497.619826499939,7,0,1,0,0.0
0,0.04257430445729443,52,0,0.4271930613368773,4860.041792729543,11,0,0,0,0.0
0,0.15115550587428941,51,0,0.3413651938666498,,6,0,2,0,1.0
0,0.34937316036585797,61,0,0.373915120895139,6867.368240575399,9,0,2,0,0.0
0,0.6179790232517723,69,0,0.5489876544317732,18378.76532862243,8,0,0,0,1.0
0,0.08512333004968216,33,0,0.17719055977309725,,10,0,1,0,3.0
0,0.08759621169129994,36,0,0.38984876408189717,8762.614541806592,12,0,2,0,1.0
0,0.18131883321532485,47,0,0.30263437962233947,,6,0,1,0,1.0
0,0.5872375552516163,85,0,0.2796439888901778,12645.241308710782,9,1,0,0,0.0
0,0.32695272569313294,48,0,0.2356557465562497,29050.63555767543,8,0,2,0,2.0
0,0.10207622725407225,50,0,0.15992322996525646,,12,0,1,0,0.0
0,0.12861655719131662,60,1,0.027359765383139195,6776.480621877078,7,0,1,0,0.0
0,0.5063606364376942,65,0,0.2802001958973956,,8,0,0,0,1.0
0,0.2362313923666562,54,0,0.14717459042022213,,7,0,2,0,0.0
0,0.513410806419954,68,0,0.2880842857553435,,9,0,3,0,0.0
0,0.38920280363377757,35,0,0.25599855595501925,6186.454400123586,5,0,0,1,1.0
0,0.11784581545037481,41,0,0.4081675179670316,4929.584481664098,10,1,2,0,2.0
0,0.38806969489492643,68,0,0.2530771851417059,,7,0,2,0,
0,0.02654069268580961,52,0,0.15563984904014716,26603.868877782825,10,1,1,0,2.0
0,0.2351961455875645,34,0,0.4599826005055654,5523.256638014105,7,0,0,0,1.0
0,0.27971449707708,33,0,0.12698631141717562,8526.141319590017,16,0,0,0,2.0
0,0.2641512635984729,40,0,0.12284420798026802,8713.971708438075,3,0,3,0,2.0
0,0.14703012619961955,52,0,0.296844369764592,,5,1,0,0,0.0
0,0.37980807124612,58,1,0.1321658165794329,17403.79068779918,7,0,0,0,1.0
0,0.44249037781992395,47,0,0.2880026345809936,10444.980067782959,5,0,1,0,1.0
0,0.06850310141546771,57,0,0.47401200221913825,2008.4832053636858,12,0,1,0,2.0
0,0.6231262604126055,45,0,0.3101714319316194,,18,0,1,0,1.0
0,0.4292235177129069,69,0,0.12535184893581797,5437.041440524909,8,0,2,0,0.0
0,0.3588817829365514,85,0,0.17588155497358637,,3,0,0,0,0.0
0,0.39185126987950286,46,0,0.4653449744059781,6244.601052416105,8,0,1,0,1.0
0,0.17396642682530764,58,2,0.2672681693069994,22965.45094473696,6,0,1,0,0.0
0,0.24944683312910257,57,0,0.4423013616949123,12137.977867048601,8,0,0,0,1.0
0,0.14569430450289073,53,0,0.08184153744582165,17455.30533688113,14,0,0,0,1.0
0,0.5348931182256702,61,0,0.058740016876733706,,6,0,1,0,0.0
0,0.4154141316012093,58,1,0.2916980392466078,6173.9030087092315,6,0,1,0,2.0
0,0.4330483175019596,45,0,0.5043811231248002,4402.9396257529415,5,0,1,0,0.0
0,0.24855941855368882,70,1,0.22805124431526813,10867.147264414192,8,1,1,0,1.0
0,0.30541788986848334,54,0,0.22716733507260325,15947.194218179455,6,0,1,0,1.0
0,0.29082498687071223,46,0,0.12643034800582756,7097.929039752357,8,0,1,0,1.0
0,0.035433821941712206,85,0,0.15077687078250207,10078.837228039225,5,0,1,0,0.0
0,0.0479219155532752,50,1,0.214844627145686,18188.032540756096,6,0,1,0,2.0
0,0.1561938668332452,55,0,0.23078956610133414,17309.83211239259,5,0,0,0,0.0
0,0.1346071565801541,54,1,0.11430649963819005,,11,0,1,0,0.0
0,0.2198855549107793,50,0,0.10527375252448852,11335.238045566397,7,0,1,0,0.0
0,0.057571506876222735,58,1,0.2932968185989629,6198.99082452342,10,0,3,0,1.0
0,0.20479300538321754,40,0,0.09648255834477482,4793.514750164671,11,0,1,0,0.0
0,0.22481891075991436,60,0,0.07673465518094227,19518.37853003067,6,0,1,0,0.0
0,0.1872299248165776,27,0,0.15296978301733563,3406.3545053083667,6,0,3,0,1.0
0,0.10373918473366764,33,0,0.21594198591868907,10888.86683184991,11,0,0,0,0.0
0,0.23198388322061664,77,0,0.24375667440770182,,7,0,1,0,1.0
0,0.18530737365063288,34,0,0.32521262284567376,13021.798813593223,9,0,2,1,2.0
0,0.5308438962352344,24,0,0.2622919474675438,7026.904032943247,10,0,0,0,0.0
0,0.08372026374769932,34,0,0.251056395262312,,7,0,1,0,2.0
0,0.3246630929269067,76,0,0.36202091067062375,8856.334749544852,6,0,0,0,0.0
1,0.7563543686013954,42,4,0.9844785151369664,3905.972626828582,7,2,2,1,1.0
0,0.3531793076856768,38,0,0.18920072733868146,,3,0,1,0,0.0
0,0.46881587458359886,31,1,0.2452340994620141,,5,0,0,0,0.0
0,0.4136078894102705,48,1,0.3429387510049774,12981.522301813471,8,0,1,0,0.0
0,0.12144102592075622,45,0,0.43539572724384173,12195.179914393584,12,0,0,0,0.0
1,0.741384805642485,42,2,1.4378666581320445,6801.341343479801,16,1,0,0,0.0
1,0.7094459578885957,42,0,1.1284007716228495,5834.533302465628,7,0,0,4,1.0
0,0.2233889859976959,35,0,0.31967933425665773,15219.279909794672,3,0,2,0,2.0
0,0.2891096756688909,50,0,0.11613845812159543,,9,0,1,0,0.0
0,0.1096833836088036,56,0,0.24258567521625377,6438.119262801783,12,0,2,0,0.0
0,0.36119635342158346,38,0,0.12294087678923665,12883.933485419679,9,0,0,0,1.0
0,0.029996825373341748,58,0,0.27129870956754737,,8,0,1,0,0.0
0,0.505248893610669,46,0,0.25582662830845043,3705.6575954402483,2,0,1,0,2.0
0,0.1212985052466762,57,0,0.3853770344039008,6118.4005166552915,8,0,1,0,1.0
0,0.26827041523142925,50,0,0.25845172682873596,12123.776212109151,13,0,1,0,0.0
0,0.4611738899793818,23,0,0.2835859805439597,8648.358604663192,9,0,1,0,1.0
0,0.12717196397087238,70,2,0.13834404435863032,9409.272197389379,7,0,1,0,1.0
0,0.07066824922491352,80,1,0.2546584102639991,11282.658247945134,11,0,3,0,0.0
0,0.11974460643118257,49,0,0.3949966606592836,12433.507009463694,5,0,1,0,1.0
0,0.09504530631710363,39,0,0.4727699370201795,10488.716689672956,7,0,0,0,0.0
1,0.6813934273210271,26,1,0.43904563362259746,3031.199337182554,11,1,0,2,4.0
0,0.11455069376762039,78,0,0.10832269534596793,,11,0,1,0,0.0
0,0.47952779605824813,49,0,0.2370139855656556,7645.173474325488,10,0,0,0,3.0
0,0.22462838338950736,48,0,0.06182658192275138,10049.877297656125,13,0,1,0,1.0
0,0.13338803933884863,50,0,0.4808367718321953,16879.354077197793,3,0,2,0,1.0
0,0.32447739497673367,28,1,0.4602294851988001,5789.314367816281,12,0,3,0,1.0
0,0.17589828489645687,47,0,0.3541905742888126,10251.01430941669,10,0,0,0,0.0
0,0.3000797390676546,76,1,0.35528307711241286,12563.132135330685,8,0,0,0,1.0
0,0.22470838975359292,49,0,0.2391690313283279,8478.045262468528,9,0,1,0,0.0
0,0.3533148220926669,37,0,0.3319162427260469,5143.364095610393,7,0,0,0,2.0
0,0.12870089468401566,58,1,0.17473975953190146,,12,0,0,0,1.0
0,0.5049044521250462,42,0,0.3017261537298623,9727.629681534287,8,0,1,0,0.0
0,0.4077085792404343,51,0,0.3570676431716503,7257.721978031404,6,0,1,0,2.0
0,0.40519707723989384,34,0,0.4017292898486071,3774.7517941253855,4,0,1,0,3.0
0,0.1407224440406007,37,1,0.27039289323296645,6640.475596106353,9,0,0,0,1.0
0,0.4481613137420874,62,0,0.20017286360710457,5165.278522514309,7,0,4,0,2.0
0,0.21674255366464162,53,1,0.18633542985779727,,10,0,0,0,2.0
0,0.4207282725029733,41,0,0.09539457060224155,4711.981185229626,12,0,2,0,0.0
0,0.564732277032614,53,0,0.24820393680857222,20134.696752191365,14,0,1,0,1.0
0,0.28701321180277767,43,0,0.45042032288989786,29139.749518315526,8,0,0,0,2.0
0,0.5156346916754406,41,0,0.4565893700012527,6834.281861472927,8,0,1,0,3.0
0,0.08966729091780784,68,0,0.3242198461342236,7281.6561068837,10,0,2,0,1.0
0,0.3429830866193662,62,0,0.24631392291405782,15865.16139263295,4,0,3,0,2.0
0,0.4042648032480596,51,0,0.2313822106718583,,7,0,1,0,0.0
1,0.7769262694776253,42,0,0.8711943927838446,,11,0,0,0,1.0
0,0.14984890317441713,51,0,0.11502804136154288,7943.641360643089,8,0,0,0,1.0
0,0.12670815615827533,58,0,0.22094752270317333,7976.075762927966,13,0,1,0,1.0
0,0.4432445227204956,40,0,0.3302191196361472,6464.977528574705,6,0,2,0,0.0
0,0.08722655529846055,64,0,0.17129463292162014,15611.28466772288,9,0,2,0,2.0
0,0.4956947913073082,56,0,0.279857738019436,10696.931936537989,12,0,0,0,1.0
0,0.4833210882656263,48,0,0.08013262678183908,,8,0,0,0,0.0
0,0.26673798240996593,45,0,0.3002284841454767,10222.099573151901,8,0,0,0,2.0
0,0.07882514264591615,63,0,0.06923097846814094,8191.38650860298,9,0,0,0,3.0
0,0.09176294508614433,49,0,0.35517850105952053,,8,0,1,0,1.0
0,0.2362120212208218,42,0,0.21756045434773807,8739.42234235878,10,0,1,0,1.0
0,0.4013357153547619,46,0,0.211150331528959,14329.819972626616,6,0,3,0,1.0
0,0.24374466575974363,62,0,0.18679172480961706,12299.963005919992,6,0,2,0,2.0
0,0.3473645145344264,29,0,0.4989332666470221,9179.027531514774,6,0,0,0,2.0
0,0.48258886224770964,47,0,0.2569422110309769,,9,0,0,0,0.0
0,0.40235338592765457,66,0,0.2196921684850467,,6,0,1,0,0.0
0,0.3843280842903191,49,0,0.3441459813074828,34316.657944866456,6,0,4,0,1.0
0,0.6036753829183927,55,1,0.3747690181351828,9428.141776188197,7,0,1,0,1.0
0,0.4460103875308272,67,0,0.08554407671413665,,7,0,2,0,1.0
0,0.4465984672924125,64,0,0.17119793479716072,29570.1414467385,10,0,4,0,0.0
0,0.13945456962178665,45,0,0.37125088986682714,7670.824457395842,9,0,0,0,2.0
0,0.16504199550347745,50,0,0.2218108886228378,,11,0,1,0,0.0
0,0.16414852644403982,64,0,0.38959137480373435,7541.011589202847,7,0,0,0,0.0
0,0.39900908180190503,65,0,0.2349959193637532,7335.947852291726,10,0,3,0,3.0
0,0.1636267509818892,50,0,0.09123187476098493,,6,0,2,0,4.0
0,0.023265871180256244,51,0,0.1760670270395559,3636.426752043452,10,0,3,0,1.0
0,0.24584960079556942,55,0,0.6039414158138562,,8,0,3,0,1.0
0,0.10923372234318669,71,0,0.1533989137791123,12799.023746384923,3,0,1,0,0.0
0,0.23922495072700095,66,0,0.28025575324204804,4345.044890439874,8,0,1,0,1.0
0,0.28407060356605973,61,1,0.350032587804401,,7,0,1,0,0.0
0,0.48556347369764874,36,0,0.285511019091945,31567.193213239767,9,0,2,0,0.0
0,0.5471772294563865,48,0,0.533612129659164,,10,0,1,0,2.0
0,0.3222847627161588,48,0,0.1156773470807928,4940.700587424539,5,0,1,1,0.0
0,0.40654549904832393,71,0,0.021001349641675743,12103.580167690216,9,0,0,0,0.0
0,0.4491124135396832,48,0,0.0903315551072441,15975.406314146518,10,0,2,0,1.0
0,0.437263331921781,69,0,0.17942942602996542,18998.492487088868,15,1,2,0,
0,0.23445528728711515,44,1,0.6445381547598604,10870.952535351398,8,0,0,0,3.0
0,0.40258346654512855,45,0,0.24458721261150085,13389.412710242836,6,0,2,0,0.0
0,0.14098152998996188,58,2,0.23374053172799414,,14,0,1,0,1.0
0,0.20351548829972974,73,1,0.26130876066983827,13374.88149369533,6,0,0,0,0.0
0,0.39306730917449034,49,0,0.4164719838310047,11604.808158044996,7,0,1,0,2.0
0,0.4944692096177442,21,1,0.44710081243992916,,6,0,0,0,0.0
0,0.573553034389833,30,0,0.06198680783102284,15949.9463068178,12,1,1,0,2.0
0,0.31298248890279634,56,0,0.4051328264695996,7571.056593921722,8,0,3,0,1.0
0,0.16807156022895947,31,0,0.5466233497131955,,5,0,0,0,1.0
0,0.041044697258391556,39,0,0.29149345756592465,,10,0,0,0,0.0
0,0.09470679692782469,52,0,0.22232106545566804,14783.851584937764,11,0,0,0,2.0
0,0.46880575756796733,21,0,0.34036799871591067,5225.179232697905,7,0,2,0,1.0
1,0.6966862511405255,54,1,0.9310453125708013,5882.173355420648,4,4,0,0,1.0
0,0.2888004712517302,35,0,0.3735007396125985,7371.602911257531,11,0,0,0,1.0
0,0.24248487271963398,31,0,0.17308553233390556,4995.872448984115,11,0,1,0,0.0
0,0.2785825623665813,40,0,0.28287236231801444,7426.392579736678,7,0,1,0,2.0
0,0.6069063726405134,37,0,0.20686871471677704,11851.241532775615,10,0,1,0,2.0
0,0.5683111754800915,58,0,0.15621302362681275,8745.523657552583,6,0,1,0,1.0
0,0.06070879415271771,68,0,0.47610482848015007,17970.443958282616,17,0,0,0,2.0
0,0.3654482498506341,46,0,0.17117727733370425,6212.342864814529,3,0,2,0,0.0
0,0.3554149529076205,43,0,0.1828946879347324,14025.912342355017,9,0,3,0,1.0
0,0.33537715621385256,46,0,0.39495107928828066,7359.244485857389,9,0,0,0,1.0
0,0.5091447106812178,36,0,0.015973334151827244,17406.319082530263,9,0,2,0,0.0
0,0.2197370336319203,33,0,0.341137911960398,14642.51218175883,11,0,2,0,0.0
0,0.2672415289516794,28,0,0.4439445610834506,,5,0,2,0,4.0
0,0.1613057763126347,33,0,0.47884548414811534,9129.955736134993,13,0,1,0,1.0
1,0.884935642410824,46,3,1.1731480575272895,3632.8614598605423,5,1,1,2,0.0
1,0.4990619829581017,37,4,0.7096180900236138,4334.208248798456,13,3,1,0,1.0
0,0.5799687834343781,21,0,0.38342524167271447,12371.405670457589,6,0,1,0,1.0
0,0.12952406276667422,43,0,0.12141958782173534,10605.333153950613,8,0,2,0,0.0
0,0.12851775708376106,29,0,0.20400178958685716,15017.832148430416,7,0,5,0,1.0
0,0.3175564811847395,52,1,0.40334499828727693,9529.347412011424,9,0,0,0,3.0
0,0.014979994992195274,51,0,0.3100457787123893,6050.977196256047,12,0,3,0,0.0
1,0.7107235376489851,23,0,1.127716015932332,,7,3,0,2,1.0
1,0.6212387721492897,29,3,0.59495327981053,5372.616778166622,10,1,2,0,1.0
0,0.2746505915369652,46,0,0.16857457201554982,8690.117929461425,12,0,1,1,1.0
0,0.2956649723544903,31,1,0.1425710197941779,15191.059775512733,11,0,2,0,1.0
0,0.21816031777979059,50,1,0.2923093360140986,,9,0,0,0,0.0
0,0.25371695233659347,66,0,0.2420553191867948,10136.657008300499,4,0,0,0,2.0
0,0.10893183563541582,77,0,0.3205525953682354,10024.965041266973,8,0,0,0,2.0
0,0.4605045974702951,48,0,0.2802483839346513,16853.37457502586,4,0,0,0,1.0
0,0.1172606691113554,50,0,0.597240814913602,8756.311215774993,9,0,1,0,1.0
1,0.6597262861487245,32,0,0.6944412438012283,4722.732574172525,8,1,2,1,0.0
0,0.17768641232565047,72,0,0.07967652315788487,5108.3385249143985,11,0,0,0,1.0
0,0.27807629280487567,45,0,0.0655511405673631,15356.33453578514,7,0,2,0,1.0
0,0.128010585282809,61,0,0.5066248665144818,9462.51351989844,7,0,1,0,1.0
0,0.41966677299625377,40,0,0.11847893488352466,17473.262789433793,5,0,0,0,2.0
1,0.5603773549446175,48,3,1.0909173759124076,4662.997343588758,4,2,1,1,1.0
0,0.31210787432456155,65,0,0.28532411385995254,7741.053674889714,5,0,2,0,
0,0.36309173086068197,33,0,0.2074983873426219,15883.522866286152,5,0,1,0,2.0
0,0.41746515391498024,44,0,0.2132517037458512,,5,0,1,0,1.0
0,0.49348668264134815,65,0,0.3872901594968304,5477.670089063086,8,0,1,0,0.0
0,0.2176605335132353,60,0,0.3876349514086035,15697.858847101146,6,0,1,0,1.0
0,0.1955750538375071,66,0,0.21868383223926272,5154.383394948407,7,0,3,0,1.0
0,0.30171254584495827,63,0,0.12946670250124379,14972.645102791761,11,0,0,0,0.0
0,0.3424871786187471,47,0,0.5593853602795413,,10,1,2,0,0.0
0,0.22247047752990612,82,0,0.4577533014682983,18137.51567595061,7,0,2,0,1.0
0,0.18234100277421114,53,0,0.33239219232411465,,8,0,1,0,0.0
0,0.21774881987295125,21,0,0.1306499433724346,11754.90154727132,11,1,0,0,0.0
0,0.2833159215130104,48,0,0.4535268823549447,9504.101542214645,5,0,1,0,1.0
0,0.14219862205645242,45,0,0.2571146148782288,10340.647501900095,12,0,1,0,1.0
0,0.03140092877955358,63,0,0.14689531559756264,10316.29814130115,5,0,1,0,1.0
0,0.33767774564259434,45,0,0.21237035521068925,14084.505362835533,9,0,0,1,2.0
0,0.4688613014441613,67,0,0.18356644619592824,9590.38068210151,6,0,3,0,1.0
0,0.09228078297773658,59,0,0.04837307430683302,20561.05865327809,8,0,0,0,2.0
0,0.14516771281692575,37,0,0.16175684339663535,6849.500175841799,6,0,2,0,2.0
0,0.35504384513190157,50,0,0.32748065420346323,15219.451678070782,8,0,1,0,1.0
0,0.26851169829879035,41,0,0.6883788065635431,13122.553270543249,15,0,0,0,0.0
0,0.2151845212651632,54,0,0.5440976623414028,18337.440984560606,5,0,1,0,4.0
0,0.05911504562930989,41,0,0.23677624450069207,10513.976875470049,9,0,1,0,0.0
0,0.07685878805797551,53,1,0.20282336049255134,11669.245922749966,8,0,0,0,0.0
0,0.33819111428572574,48,0,0.2289950296076707,11603.332496713447,11,0,2,0,1.0
0,0.08936452666700571,49,0,0.3392121722742489,5388.590839420073,7,0,1,0,0.0
0,0.3026326202666879,80,0,0.22984476057872888,12051.126376936954,6,0,0,0,2.0
0,0.1097696177065672,46,0,0.6115418482394559,50764.54052593974,4,0,0,0,0.0
0,0.3953616229907055,24,0,0.08092892206555538,22127.699125645482,18,0,1,0,2.0
0,0.519888244576269,66,0,0.5394441268660696,,8,0,0,0,2.0
0,0.08477889490156329,66,2,0.09812374468289557,4022.8257556472054,7,0,1,0,0.0
0,0.18871405076927014,24,0,0.1275801072670662,10158.764157348172,5,0,1,0,2.0
0,0.8475133915010836,42,0,0.25263534646621144,17011.824185309793,4,0,1,0,2.0
0,0.23536591804870546,58,0,0.6478812769390925,9707.712933072307,7,1,1,0,
0,0.07013641496708738,59,0,0.4330470402472851,25453.23919138524,6,0,3,0,0.0
0,0.35203426098371127,51,0,0.18456734372272598,6700.087584603866,7,0,0,0,1.0
0,0.24848706892352865,52,0,0.023920833354857486,11075.450968970905,8,0,2,0,1.0
0,0.049334541832291336,38,0,0.03907919303846315,9373.929020424835,11,0,1,0,0.0
0,0.15467888554741824,21,0,0.40738359778409183,,7,0,2,0,0.0
0,0.6328650741611516,80,0,0.1139737345976381,14764.189692035096,7,0,1,0,2.0
0,0.3388956201178863,38,0,0.0361546074451724,17931.557729786076,10,0,1,0,2.0
0,0.5178318903327522,54,0,0.13687272674864723,9302.44846172121,4,0,2,0,1.0
0,0.1854417334412641,49,0,0.1222267594401379,18562.452632765624,12,0,0,0,1.0
0,0.4204404926935036,64,0,0.2934616041208512,11760.375372987553,9,0,1,0,3.0
1,0.8669646812338175,45,1,0.7602001832572673,17912.996481204267,10,2,0,1,
0,0.2319810403362842,54,0,0.10888366771803402,,6,0,1,0,1.0
0,0.3339219372061573,21,1,0.39880560630902767,9988.13403993236,10,0,1,0,0.0
0,0.46999777073419813,40,0,0.3112553055788985,7065.996500512667,9,0,1,0,0.0
0,0.6371519475713876,62,1,0.32190817527267196,10958.172067932644,5,0,3,0,0.0
0,0.23821726722648903,61,0,0.2711615466177925,16241.45159578075,13,0,2,0,0.0
0,0.16472922434868945,38,0,0.13853715359032703,4663.296380966413,7,0,1,0,1.0
0,0.08249537421148374,29,0,0.44049265412884697,7727.824683975676,13,0,0,0,0.0
1,0.7884550927716707,53,1,1.2729071439445367,11879.102844411611,8,5,2,0,0.0
0,0.21957116976340948,21,0,0.2700936464311429,,8,0,1,0,3.0
0,0.3047547555537969,35,1,0.5001330195933392,5901.247761548472,8,0,0,0,1.0
0,0.16776088472100692,76,1,0.40732410324272683,7284.372178277197,3,0,1,0,2.0
0,0.43464967386744224,72,1,0.46965224894600843,9492.487970552262,10,0,1,0,2.0
0,0.17369672189284505,58,0,0.354984364479506,8426.147450109336,9,0,2,0,2.0
0,0.09501905649677427,56,1,0.09691944664209101,8506.205948176637,13,0,0,0,1.0
0,0.3980678819012516,24,1,0.0754016916974307,5087.033859823353,7,0,1,0,0.0
0,0.31582972350237404,41,0,0.1459276008073343,23977.76737105412,11,0,3,0,1.0
0,0.16601490229178062,47,0,0.3397000132147153,7303.164225828536,6,0,2,0,1.0
0,0.21696315017102738,41,0,0.38241656675834146,3821.842417706401,14,0,1,0,2.0
1,0.8040049646386843,21,4,0.2952476685220926,9005.027853470956,11,2,4,1,1.0
0,0.0810441082953593,70,0,0.1868878419677345,6717.401552234457,9,0,0,0,1.0
